warehouse number,warehouse_id,warehouse_address,cargo_arrival,shipment_errors,customer_rating,total_capacity,remaining_capacity,store_id,sku
2363,688059,,Ship,3,4,"4,700,000","4,700,000",489795,718231
2364,274845,,Ship,5,5,"1,700,000","1,700,000",559743,607627
2365,596191,,Ship,3,2,"7,100,000","7,100,000",432866,807731
2366,437030,,Ship,3,3,"6,400,000","6,400,000",643574,572086
2367,476706,,Ship,5,4,"1,500,000","1,500,000",345326,906950
2368,836232,,Ship,4,5,"8,300,000","8,300,000",260155,343094
2369,431695,,Ship,2,1,"7,300,000","7,300,000",161473,991126
2370,922108,,Ship,4,5,"8,000,000","8,000,000",127445,526085
2371,459768,,Ship,4,4,"7,600,000","7,600,000",724616,529866
2372,321662,,Ship,4,5,"2,200,000","2,200,000",916984,673206
2373,194737,,Ship,2,3,"8,700,000","8,700,000",846399,349539
2374,158949,,Ship,5,2,"7,400,000","7,400,000",518739,524131
2375,324442,,Ship,4,1,"6,600,000","6,600,000",446036,203951
2376,187750,,Ship,3,2,"2,000,000","2,000,000",877154,882076
2377,251832,,Ship,4,1,"4,200,000","4,200,000",539984,862924
2378,297356,,Ship,3,2,"9,500,000","9,500,000",757569,201797
2379,879480,,Ship,5,1,"8,900,000","8,900,000",607802,841023
2380,106402,,Ship,4,2,"7,000,000","7,000,000",943796,742042
2381,755622,,Ship,4,1,"6,100,000","6,100,000",482617,755658
2382,158496,,Ship,3,5,"9,300,000","9,300,000",780278,870973
2383,753245,,Ship,3,5,"4,200,000","4,200,000",553220,604036
2384,276391,,Ship,4,3,"6,200,000","6,200,000",665622,368086
2385,879428,,Ship,4,5,"1,200,000","1,200,000",160478,822953
2386,647184,,Ship,4,3,"5,000,000","5,000,000",300963,616834
2387,760371,,Ship,5,2,"1,800,000","1,800,000",823786,866255
2388,151753,,Ship,4,4,"4,900,000","4,900,000",658427,312131
2389,745123,,Ship,4,5,"3,200,000","3,200,000",972603,427669
2390,913100,,Ship,2,4,"4,900,000","4,900,000",759624,829717
2391,655748,,Ship,4,2,"7,400,000","7,400,000",837328,968781
2392,110116,,Ship,3,1,"4,300,000","4,300,000",239553,640173
2393,402491,,Ship,4,1,"6,500,000","6,500,000",643532,994371
2394,261353,,Ship,4,3,"3,500,000","3,500,000",781401,813786
2395,885103,,Ship,4,5,"9,800,000","9,800,000",466570,827652
2396,139119,,Ship,3,3,"6,900,000","6,900,000",598205,429518
2397,776683,,Ship,3,2,"2,800,000","2,800,000",944838,606886
2398,962396,,Ship,3,3,"2,400,000","2,400,000",279629,716438
2399,110065,,Ship,6,3,"1,100,000","1,100,000",944594,462857
2400,646578,,Ship,6,2,"1,000,000","1,000,000",372579,685231
2401,622516,,Ship,2,5,"2,600,000","2,600,000",920414,246287
2402,603556,,Ship,5,4,"5,900,000","5,900,000",332704,323129
2403,871825,,Ship,3,2,"7,200,000","7,200,000",867564,668761
2404,303075,,Ship,3,2,"5,300,000","5,300,000",493099,300584
2405,225024,,Ship,4,3,"2,400,000","2,400,000",129777,116214
2406,845343,,Ship,4,2,"7,700,000","7,700,000",403031,358167
2407,862443,,Ship,3,5,"9,500,000","9,500,000",787609,553465
2408,944775,,Ship,3,2,"9,400,000","9,400,000",287398,471656
2409,596000,,Ship,2,4,"6,800,000","6,800,000",394131,613855
2410,774693,,Ship,3,2,"3,900,000","3,900,000",894873,503627
2411,373175,,Ship,4,1,"7,700,000","7,700,000",692712,801232
2412,497264,,Ship,6,5,"6,600,000","6,600,000",299304,306631
2413,402399,,Ship,3,2,"9,100,000","9,100,000",885973,983502
2414,400881,,Ship,4,5,"5,500,000","5,500,000",883181,517685
2415,155740,,Ship,6,3,"8,700,000","8,700,000",761418,312925
2416,399421,,Ship,5,2,"9,400,000","9,400,000",119607,801020
2417,410592,,Ship,3,1,"8,100,000","8,100,000",334697,455630
2418,994630,,Ship,3,4,"9,800,000","9,800,000",779899,452884
2419,710469,,Ship,5,2,"9,400,000","9,400,000",926356,103134
2420,311470,,Ship,4,4,"6,900,000","6,900,000",604683,380776
2421,242664,,Ship,5,2,"8,600,000","8,600,000",505798,109350
2422,291805,,Ship,3,3,"8,200,000","8,200,000",527505,690560
2423,180359,,Ship,3,2,"3,000,000","3,000,000",213738,797591
2424,706786,,Ship,4,4,"5,400,000","5,400,000",398458,614104
2425,593740,,Ship,5,3,"7,300,000","7,300,000",147410,346351
2426,384859,,Ship,3,1,"7,500,000","7,500,000",809390,495929
2427,859209,,Ship,3,5,"1,800,000","1,800,000",641371,968410
2428,321640,,Ship,4,3,"1,700,000","1,700,000",246945,726332
2429,966013,,Ship,4,5,"4,500,000","4,500,000",479256,332211
2430,227660,,Ship,3,2,"6,900,000","6,900,000",854139,338723
2431,557121,,Ship,3,5,"1,400,000","1,400,000",408042,661036
2432,408221,,Ship,4,1,"4,200,000","4,200,000",166225,601245
2433,252596,,Ship,4,4,"3,700,000","3,700,000",557474,851946
2434,868336,,Ship,3,2,"6,300,000","6,300,000",910442,723212
2435,816359,,Ship,3,5,"3,900,000","3,900,000",159235,502344
2436,880777,,Ship,3,2,"5,900,000","5,900,000",896583,993252
2437,293247,,Ship,3,1,"9,000,000","9,000,000",979475,319083
2438,663293,,Ship,4,5,"3,100,000","3,100,000",747763,690763
2439,369952,,Ship,2,5,"1,700,000","1,700,000",750732,898444
2440,151700,,Road,2,1,"3,500,000","3,500,000",725631,466558
2441,155839,,Road,3,3,"1,200,000","1,200,000",206766,480784
2442,214370,,Road,4,5,"2,900,000","2,900,000",864730,340574
2443,749262,,Road,4,3,"5,000,000","5,000,000",842732,546718
2444,234449,,Road,2,5,"2,500,000","2,500,000",919097,398000
2445,985073,,Road,3,5,"6,300,000","6,300,000",115930,213468
2446,485559,,Road,4,3,"7,900,000","7,900,000",778977,118206
2447,830857,,Road,3,5,"5,500,000","5,500,000",144939,372174
2448,298432,,Road,6,5,"1,300,000","1,300,000",533161,771912
2449,951683,,Road,5,3,"3,700,000","3,700,000",134510,565776
2450,959845,,Road,4,5,"5,300,000","5,300,000",403440,665850
2451,817720,,Road,4,2,"2,300,000","2,300,000",271269,818741
2452,478000,,Road,4,3,"5,900,000","5,900,000",670077,479987
2453,765469,,Road,4,3,"9,000,000","9,000,000",835723,839433
2454,895824,,Road,4,5,"4,800,000","4,800,000",278472,228454
2455,496476,,Road,4,5,"3,000,000","3,000,000",119695,531127
2456,182845,,Road,3,3,"9,200,000","9,200,000",261581,434176
2457,155024,,Road,2,3,"9,400,000","9,400,000",610084,399145
2458,863486,,Road,5,2,"7,900,000","7,900,000",728397,701183
2459,276212,,Road,2,5,"4,900,000","4,900,000",528541,450073
2460,881082,,Road,5,5,"8,100,000","8,100,000",974865,290876
2461,664419,,Road,3,3,"6,700,000","6,700,000",936527,529762
2462,919341,,Flight,3,3,"6,400,000","6,400,000",536331,389782
2463,639159,,Flight,5,2,"2,100,000","2,100,000",122032,651568
2464,192961,,Flight,5,5,"3,500,000","3,500,000",988513,929936
2465,654721,,Flight,5,3,"6,500,000","6,500,000",922623,174468
2466,330233,,Flight,4,2,"5,300,000","5,300,000",997919,417866
2467,110587,,Flight,6,1,"1,800,000","1,800,000",504678,196887
2468,443766,,Flight,5,1,"1,300,000","1,300,000",372740,609366
2469,322816,,Flight,4,2,"4,400,000","4,400,000",856395,844854
2470,697026,,Flight,4,2,"8,600,000","8,600,000",166634,497705
2471,893894,,Flight,5,5,"9,100,000","9,100,000",624379,951161
2472,865261,,Flight,5,2,"8,400,000","8,400,000",778330,451039
2473,450175,,Flight,4,5,"6,400,000","6,400,000",980039,603969
2474,717792,,Flight,5,1,"8,700,000","8,700,000",948418,797141
2475,455087,,Flight,3,4,"9,500,000","9,500,000",651001,811027
2476,231252,,Flight,5,3,"9,800,000","9,800,000",607189,895234
2477,687802,,Flight,3,4,"9,700,000","9,700,000",345901,541670
2478,559816,,Flight,5,2,"4,900,000","4,900,000",699989,908741
2479,321527,,Flight,4,5,"1,700,000","1,700,000",863648,335377
2480,831243,,Flight,3,1,"5,300,000","5,300,000",865630,690914
2481,982429,,Flight,5,5,"9,600,000","9,600,000",967432,207188
2482,501421,,Flight,3,3,"9,100,000","9,100,000",308964,645488
2483,900739,,Flight,3,5,"7,200,000","7,200,000",251360,540264
2484,699623,,Ship,6,3,"5,400,000","5,400,000",952533,539525
2485,831940,,Ship,3,5,"8,100,000","8,100,000",583800,769618
2486,863205,,Ship,5,3,"5,600,000","5,600,000",504682,135337
2487,309959,,Ship,2,2,"7,800,000","7,800,000",311438,878030
2488,222125,,Ship,5,2,"2,200,000","2,200,000",156873,255833
2489,650991,,Ship,3,4,"4,000,000","4,000,000",828413,518915
2490,572836,,Ship,5,3,"4,400,000","4,400,000",557475,481287
2491,897393,,Ship,4,5,"2,400,000","2,400,000",212989,666821
2492,663498,,Ship,3,5,"1,700,000","1,700,000",748680,513566
2493,998640,,Ship,5,1,"3,400,000","3,400,000",829158,852734
2494,282389,,Ship,4,5,"7,800,000","7,800,000",427060,855639
2495,933759,,Ship,3,3,"8,600,000","8,600,000",358700,972516
2496,550637,,Ship,3,5,"7,000,000","7,000,000",843148,260101
2497,171549,,Ship,4,3,"1,600,000","1,600,000",716165,245862
2498,734696,,Ship,2,1,"4,400,000","4,400,000",138345,113617
2499,889504,,Ship,4,5,"6,000,000","6,000,000",717551,793517
2500,227001,,Ship,3,4,"1,500,000","1,500,000",490801,970801
2501,180213,,Ship,4,3,"7,500,000","7,500,000",786549,316755
2502,363869,,Ship,2,1,"3,500,000","3,500,000",772978,205667
2503,687253,,Ship,3,4,"6,700,000","6,700,000",942341,730671
2504,826011,,Ship,5,4,"1,800,000","1,800,000",286675,616552
2505,915369,,Ship,2,2,"9,300,000","9,300,000",242161,307896
2506,401272,,Ship,3,4,"5,900,000","5,900,000",349115,718967
2507,569571,,Ship,5,4,"8,300,000","8,300,000",632880,412581
2508,367837,,Ship,3,1,"6,900,000","6,900,000",991456,590147
2509,877747,,Ship,3,5,"7,700,000","7,700,000",634479,977399
2510,846342,,Ship,5,1,"1,000,000","1,000,000",626484,266908
2511,585762,,Ship,3,2,"5,300,000","5,300,000",354189,627239
2512,237851,,Ship,3,1,"3,600,000","3,600,000",278107,453752
2513,713059,,Ship,3,5,"7,700,000","7,700,000",507336,233105
2514,992320,,Ship,3,2,"4,800,000","4,800,000",604209,428306
2515,907100,,Ship,4,4,"2,300,000","2,300,000",915661,115264
2516,251997,,Ship,4,3,"8,100,000","8,100,000",976180,840210
2517,430608,,Ship,5,5,"3,300,000","3,300,000",169325,537797
2518,308546,,Ship,3,5,"8,400,000","8,400,000",382053,471534
2519,906564,,Ship,3,4,"1,700,000","1,700,000",741484,723467
2520,266328,,Ship,2,4,"6,700,000","6,700,000",962860,429416
2521,815576,,Ship,4,4,"5,200,000","5,200,000",142520,465688
2522,828903,,Ship,6,4,"9,300,000","9,300,000",725501,815800
2523,529024,,Ship,5,1,"7,900,000","7,900,000",302986,101447
2524,179381,,Ship,5,5,"6,100,000","6,100,000",294474,785973
2525,677104,,Ship,4,2,"4,500,000","4,500,000",257107,120839
2526,909312,,Ship,4,5,"8,700,000","8,700,000",390838,854896
2527,268412,,Ship,4,1,"2,800,000","2,800,000",968008,703432
2528,431702,,Ship,3,5,"5,800,000","5,800,000",245706,729843
2529,439102,,Ship,2,3,"6,600,000","6,600,000",492472,498257
2530,741220,,Ship,2,1,"9,400,000","9,400,000",736396,548257
2531,874716,,Ship,4,1,"6,600,000","6,600,000",618208,930472
2532,292327,,Ship,4,1,"2,900,000","2,900,000",935246,381525
2533,703574,,Ship,3,5,"3,800,000","3,800,000",288493,203627
2534,326559,,Ship,3,4,"2,700,000","2,700,000",639639,790253
2535,655317,,Ship,4,3,"8,700,000","8,700,000",697316,610492
2536,336723,,Ship,2,1,"8,300,000","8,300,000",466582,174701
2537,736669,,Ship,4,4,"7,200,000","7,200,000",398888,843934
2538,611626,,Ship,3,4,"4,200,000","4,200,000",405859,246020
2539,510746,,Ship,4,4,"6,000,000","6,000,000",690478,293295
2540,373809,,Ship,2,5,"6,100,000","6,100,000",157688,113765
2541,354084,,Ship,3,3,"3,300,000","3,300,000",861792,709442
2542,408539,,Ship,5,3,"6,600,000","6,600,000",641229,775512
2543,387696,,Ship,2,5,"2,600,000","2,600,000",905716,199068
2544,689877,,Ship,3,3,"8,700,000","8,700,000",247641,137378
2545,629976,,Ship,5,4,"4,500,000","4,500,000",976146,727252
2546,279336,,Ship,3,5,"8,700,000","8,700,000",335008,213474
2547,190464,,Ship,3,5,"2,300,000","2,300,000",461523,679339
2548,454642,,Ship,5,2,"3,400,000","3,400,000",941316,122013
2549,563037,,Ship,3,1,"2,100,000","2,100,000",439180,881719
2550,271428,,Ship,3,3,"3,300,000","3,300,000",989413,587287
2551,174216,,Ship,3,1,"9,900,000","9,900,000",649450,845224
2552,852884,,Ship,3,5,"2,400,000","2,400,000",280519,444918
2553,951004,,Ship,4,1,"5,300,000","5,300,000",608778,715367
2554,969809,,Ship,4,5,"9,400,000","9,400,000",216153,664846
2555,912741,,Ship,5,5,"7,900,000","7,900,000",761510,822189
2556,365551,,Ship,3,5,"8,600,000","8,600,000",874678,436494
2557,427889,,Ship,3,3,"6,400,000","6,400,000",137212,573828
2558,684375,,Ship,2,5,"7,000,000","7,000,000",644953,373997
2559,585850,,Ship,4,3,"9,500,000","9,500,000",991572,147904
2560,319378,,Ship,6,3,"7,400,000","7,400,000",151280,760318
2561,790625,,Ship,5,5,"9,400,000","9,400,000",998828,805846
2562,911309,,Ship,5,2,"9,400,000","9,400,000",170480,759657
2563,990460,,Ship,4,3,"9,900,000","9,900,000",156656,667060
2564,646658,,Ship,4,5,"3,800,000","3,800,000",510215,707051
2565,547603,,Ship,4,2,"7,300,000","7,300,000",849175,253752
2566,209054,,Ship,3,2,"4,700,000","4,700,000",359967,222731
2567,450267,,Ship,2,4,"3,300,000","3,300,000",257461,157371
2568,111135,,Ship,2,4,"7,800,000","7,800,000",851194,750202
2569,970744,,Ship,4,2,"1,700,000","1,700,000",974702,786321
2570,627601,,Ship,5,2,"1,600,000","1,600,000",475066,751542
2571,506206,,Ship,3,3,"1,800,000","1,800,000",361351,310331
2572,797700,,Ship,4,5,"5,400,000","5,400,000",366188,210622
2573,505935,,Ship,2,1,"8,100,000","8,100,000",102720,868253
2574,835797,,Ship,3,5,"3,600,000","3,600,000",173464,330399
2575,283816,,Ship,4,1,"2,500,000","2,500,000",763177,817750
2576,836675,,Ship,5,5,"4,200,000","4,200,000",415782,220290
2577,849469,,Road,3,4,"2,300,000","2,300,000",189781,452083
2578,355428,,Road,3,1,"9,000,000","9,000,000",444308,681305
2579,386820,,Road,3,4,"6,100,000","6,100,000",877120,758613
2580,895076,,Road,4,2,"4,500,000","4,500,000",813527,545594
2581,152622,,Road,5,2,"6,600,000","6,600,000",460366,992441
2582,338446,,Road,4,3,"3,500,000","3,500,000",862014,625301
2583,510043,,Road,5,4,"3,000,000","3,000,000",397373,355983
2584,267643,,Road,5,3,"4,400,000","4,400,000",907605,679257
2585,126430,,Road,2,2,"8,500,000","8,500,000",489329,312058
2586,190103,,Road,4,5,"5,400,000","5,400,000",394762,447173
2587,341530,,Road,4,4,"8,900,000","8,900,000",841350,216246
2588,267353,,Road,5,4,"8,200,000","8,200,000",255375,541549
2589,361075,,Road,3,1,"2,000,000","2,000,000",217165,217849
2590,185835,,Road,5,3,"8,900,000","8,900,000",106402,784308
2591,284437,,Road,4,2,"5,900,000","5,900,000",374330,869227
2592,985805,,Road,5,5,"1,400,000","1,400,000",190408,373286
2593,427696,,Road,4,1,"1,100,000","1,100,000",224435,806866
2594,319548,,Road,3,2,"5,400,000","5,400,000",440554,907988
2595,528251,,Road,4,1,"4,600,000","4,600,000",190501,761190
2596,675840,,Road,4,2,"4,900,000","4,900,000",816464,789328
2597,209539,,Road,3,5,"7,700,000","7,700,000",473966,370482
2598,135516,,Road,3,2,"9,000,000","9,000,000",396288,296924
2599,400419,,Flight,5,1,"7,400,000","7,400,000",301789,465052
2600,807900,,Flight,4,1,"2,200,000","2,200,000",107978,647196
2601,419110,,Flight,5,4,"7,500,000","7,500,000",958695,646125
2602,745033,,Flight,4,2,"3,800,000","3,800,000",668584,728133
2603,535065,,Flight,4,4,"4,900,000","4,900,000",630656,658818
2604,197079,,Flight,4,5,"9,300,000","9,300,000",871094,613729
2605,897766,,Flight,3,3,"3,700,000","3,700,000",687636,358995
2606,815516,,Flight,3,5,"4,800,000","4,800,000",300873,577784
2607,457103,,Flight,3,5,"8,100,000","8,100,000",596626,192821
2608,690455,,Flight,3,2,"4,800,000","4,800,000",541709,708161
2609,796041,,Flight,5,1,"4,600,000","4,600,000",609386,383699
2610,700718,,Flight,4,1,"5,600,000","5,600,000",146228,229686
2611,837231,,Flight,4,2,"8,200,000","8,200,000",720955,768566
2612,196164,,Flight,4,4,"1,300,000","1,300,000",834779,483200
2613,266510,,Flight,3,2,"3,500,000","3,500,000",186504,242077
2614,584207,,Flight,4,2,"8,100,000","8,100,000",434873,995696
2615,911686,,Flight,5,1,"8,200,000","8,200,000",192676,962756
2616,657703,,Flight,3,5,"6,000,000","6,000,000",735459,861721
2617,171190,,Flight,4,1,"6,200,000","6,200,000",608639,817439
2618,609751,,Flight,4,2,"1,200,000","1,200,000",751584,739242
2619,135095,,Flight,4,2,"4,300,000","4,300,000",638879,585128
2620,825429,,Flight,5,1,"5,000,000","5,000,000",604691,631657
2621,349258,,Ship,2,4,"6,000,000","6,000,000",306581,401188
2622,473486,,Ship,3,1,"7,600,000","7,600,000",964261,841506
2623,447745,,Ship,5,3,"6,400,000","6,400,000",609213,878046
2624,893416,,Ship,4,1,"4,700,000","4,700,000",529787,535436
2625,973122,,Ship,5,4,"5,600,000","5,600,000",806029,925538
2626,795782,,Ship,4,4,"5,300,000","5,300,000",267738,303092
2627,568673,,Ship,3,3,"1,700,000","1,700,000",415686,576956
2628,303764,,Ship,4,5,"3,100,000","3,100,000",484100,994954
2629,914175,,Ship,3,1,"3,600,000","3,600,000",665522,403011
2630,495224,,Ship,3,1,"9,200,000","9,200,000",609633,184811
2631,468106,,Ship,3,5,"6,400,000","6,400,000",899407,556338
2632,252867,,Ship,5,3,"6,400,000","6,400,000",183831,764417
2633,625253,,Ship,4,5,"2,600,000","2,600,000",753998,109777
2634,433004,,Ship,3,4,"3,200,000","3,200,000",276276,722019
2635,998415,,Ship,4,1,"9,300,000","9,300,000",269112,567200
2636,156030,,Ship,4,3,"4,300,000","4,300,000",349318,481089
2637,194538,,Ship,4,3,"2,200,000","2,200,000",808015,641861
2638,789333,,Ship,3,1,"5,400,000","5,400,000",186573,837457
2639,665427,,Ship,3,2,"5,100,000","5,100,000",984097,205910
2640,405255,,Ship,3,5,"9,800,000","9,800,000",652779,131222
2641,689489,,Ship,4,5,"7,300,000","7,300,000",883478,847138
2642,275157,,Ship,4,4,"7,200,000","7,200,000",942686,408287
2643,430291,,Ship,3,3,"6,600,000","6,600,000",470907,279315
2644,740524,,Ship,4,4,"1,900,000","1,900,000",258648,803887
2645,104514,,Ship,4,3,"7,500,000","7,500,000",846083,841593
2646,480219,,Ship,4,1,"3,000,000","3,000,000",681620,329488
2647,508583,,Ship,3,3,"1,000,000","1,000,000",670350,293455
2648,898271,,Ship,3,1,"5,600,000","5,600,000",313043,490386
2649,107443,,Ship,3,1,"8,600,000","8,600,000",404599,420738
2650,983048,,Ship,2,1,"7,000,000","7,000,000",674472,304726
2651,422271,,Ship,4,1,"8,100,000","8,100,000",487352,447673
2652,421397,,Ship,3,2,"9,600,000","9,600,000",630799,614403
2653,852779,,Ship,3,3,"9,600,000","9,600,000",374521,961510
2654,723092,,Ship,5,3,"4,700,000","4,700,000",588094,124246
2655,794093,,Ship,2,5,"4,100,000","4,100,000",866955,319240
2656,981954,,Ship,6,3,"3,700,000","3,700,000",608799,130830
2657,531952,,Ship,3,1,"5,800,000","5,800,000",646889,856279
2658,560853,,Ship,3,4,"1,600,000","1,600,000",697160,895109
2659,917535,,Ship,3,3,"5,700,000","5,700,000",414874,782768
2660,823753,,Ship,5,5,"9,500,000","9,500,000",282398,820737
2661,847790,,Ship,4,4,"7,000,000","7,000,000",200513,361371
2662,809676,,Ship,4,1,"8,000,000","8,000,000",598072,470617
2663,284478,,Ship,4,3,"2,400,000","2,400,000",250001,780657
2664,483588,,Ship,4,4,"9,600,000","9,600,000",258593,405368
2665,108873,,Ship,4,4,"8,700,000","8,700,000",352983,139693
2666,366781,,Ship,4,1,"2,300,000","2,300,000",710282,380190
2667,322920,,Ship,3,2,"4,600,000","4,600,000",889077,380590
2668,186117,,Ship,5,3,"5,500,000","5,500,000",248555,806606
2669,540680,,Ship,4,3,"6,800,000","6,800,000",287158,766743
2670,429078,,Ship,3,1,"6,600,000","6,600,000",962344,505172
2671,264591,,Ship,5,2,"7,100,000","7,100,000",188449,262112
2672,291959,,Ship,4,3,"5,800,000","5,800,000",658369,194165
2673,109990,,Ship,4,1,"5,300,000","5,300,000",427481,856001
2674,880091,,Ship,3,1,"5,000,000","5,000,000",191434,233471
2675,533533,,Ship,4,3,"2,300,000","2,300,000",700411,905904
2676,408755,,Ship,3,2,"4,200,000","4,200,000",215871,256794
2677,962292,,Ship,5,3,"9,300,000","9,300,000",868889,238580
2678,682862,,Ship,5,2,"5,700,000","5,700,000",126290,729577
2679,698301,,Ship,5,3,"1,000,000","1,000,000",918650,382116
2680,429834,,Ship,3,1,"1,200,000","1,200,000",630108,365608
2681,232610,,Ship,5,2,"9,700,000","9,700,000",594201,139643
2682,688233,,Ship,3,4,"5,400,000","5,400,000",453561,719578
2683,658050,,Ship,4,4,"4,000,000","4,000,000",305820,831121
2684,761328,,Ship,3,1,"9,900,000","9,900,000",191777,112049
2685,713862,,Ship,3,1,"1,500,000","1,500,000",693672,914010
2686,853508,,Ship,4,3,"5,900,000","5,900,000",955133,187357
2687,309297,,Ship,4,2,"2,100,000","2,100,000",543193,511339
2688,875388,,Ship,3,4,"3,200,000","3,200,000",106202,655826
2689,796930,,Ship,2,2,"1,900,000","1,900,000",899653,975829
2690,394351,,Ship,4,1,"1,600,000","1,600,000",361036,467657
2691,827648,,Ship,5,1,"1,200,000","1,200,000",373342,464959
2692,201305,,Ship,5,5,"9,800,000","9,800,000",249618,360765
2693,364758,,Ship,4,2,"2,100,000","2,100,000",208415,588013
2694,550636,,Ship,3,1,"9,900,000","9,900,000",843737,728534
2695,133883,,Ship,5,1,"3,000,000","3,000,000",514015,630644
2696,157156,,Ship,5,1,"4,900,000","4,900,000",448151,425535
2697,434360,,Ship,4,2,"1,300,000","1,300,000",668602,477387
2698,691559,,Ship,3,5,"7,400,000","7,400,000",922909,361994
2699,493728,,Ship,4,3,"8,800,000","8,800,000",525944,261411
2700,650740,,Ship,4,2,"6,900,000","6,900,000",259261,125911
2701,388186,,Ship,3,5,"1,700,000","1,700,000",849324,880144
2702,667071,,Ship,3,2,"8,800,000","8,800,000",589299,833116
2703,135585,,Ship,5,3,"7,700,000","7,700,000",443788,337576
2704,897994,,Ship,3,4,"9,400,000","9,400,000",642264,974524
2705,170860,,Ship,3,3,"8,400,000","8,400,000",761534,849417
2706,359091,,Ship,3,3,"3,400,000","3,400,000",698473,886132
2707,507333,,Ship,4,3,"5,400,000","5,400,000",209140,677302
2708,594118,,Ship,2,1,"6,700,000","6,700,000",974503,515352
2709,440991,,Ship,3,1,"7,800,000","7,800,000",714832,846246
2710,815204,,Ship,3,2,"8,700,000","8,700,000",123964,635184
2711,444997,,Ship,3,1,"9,900,000","9,900,000",162634,398044
2712,804963,,Ship,5,2,"8,300,000","8,300,000",229267,292860
2713,603560,,Ship,3,3,"7,500,000","7,500,000",639160,320682
2714,808572,,Road,3,5,"1,600,000","1,600,000",127733,540207
2715,938231,,Road,4,4,"5,700,000","5,700,000",758634,701852
2716,277649,,Road,3,2,"5,500,000","5,500,000",790564,627121
2717,124892,,Road,4,3,"2,800,000","2,800,000",749945,108587
2718,166377,,Road,4,5,"2,800,000","2,800,000",942831,799488
2719,424044,,Road,3,1,"1,900,000","1,900,000",666400,351654
2720,332259,,Road,3,2,"8,300,000","8,300,000",147080,863941
2721,825166,,Road,4,3,"6,800,000","6,800,000",158207,945673
2722,985223,,Road,4,4,"1,100,000","1,100,000",233309,946662
2723,760369,,Road,4,3,"7,300,000","7,300,000",362273,456436
2724,296326,,Road,4,2,"7,600,000","7,600,000",717406,614296
2725,789645,,Road,4,1,"2,600,000","2,600,000",932373,762927
2726,789457,,Road,4,3,"6,000,000","6,000,000",351503,736268
2727,601615,,Road,2,3,"4,600,000","4,600,000",239721,249439
2728,147338,,Road,4,4,"3,300,000","3,300,000",219569,154662
2729,931806,,Road,4,4,"8,300,000","8,300,000",917814,622286
2730,513042,,Road,3,1,"7,400,000","7,400,000",189119,290378
2731,144724,,Road,3,4,"2,200,000","2,200,000",420847,377058
2732,647293,,Road,3,3,"5,000,000","5,000,000",357566,641956
2733,392074,,Road,4,4,"7,200,000","7,200,000",878849,454273
2734,643819,,Road,4,5,"8,800,000","8,800,000",289562,898514
2735,684595,,Road,3,2,"5,800,000","5,800,000",151346,969253
2736,567898,,Flight,5,1,"3,900,000","3,900,000",828823,214970
2737,340194,,Flight,3,3,"1,600,000","1,600,000",577421,421275
2738,669635,,Flight,5,3,"4,700,000","4,700,000",755423,594224
2739,556366,,Flight,5,4,"9,300,000","9,300,000",530419,217650
2740,241212,,Flight,3,4,"1,500,000","1,500,000",212496,551162
2741,542115,,Flight,3,1,"4,800,000","4,800,000",703404,945733
2742,294168,,Flight,4,2,"4,400,000","4,400,000",738416,303205
2743,666425,,Flight,3,3,"1,500,000","1,500,000",911639,265779
2744,674505,,Flight,4,3,"2,400,000","2,400,000",811041,795613
2745,312229,,Flight,6,4,"4,900,000","4,900,000",649094,519211
2746,884311,,Flight,2,4,"5,400,000","5,400,000",403021,574588
2747,179604,,Flight,5,2,"6,600,000","6,600,000",493401,480068
2748,973236,,Flight,3,3,"1,300,000","1,300,000",966384,813996
2749,753647,,Flight,4,4,"3,400,000","3,400,000",749080,740283
2750,115905,,Flight,3,3,"6,600,000","6,600,000",601228,334293
2751,312079,,Flight,3,5,"3,100,000","3,100,000",990226,880107
2752,748079,,Flight,5,3,"9,200,000","9,200,000",467119,129743
2753,716851,,Flight,5,4,"3,900,000","3,900,000",734906,350805
2754,270092,,Flight,3,5,"3,700,000","3,700,000",675539,681387
2755,542486,,Flight,4,5,"2,800,000","2,800,000",635154,864307
2756,699512,,Flight,4,4,"2,900,000","2,900,000",924950,956743
2757,211550,,Flight,3,5,"7,800,000","7,800,000",820106,662411
2758,620757,,Ship,3,1,"5,700,000","5,700,000",633186,753012
2759,823242,,Ship,5,5,"6,100,000","6,100,000",307083,180047
2760,297791,,Ship,3,1,"2,100,000","2,100,000",426083,435767
2761,698420,,Ship,5,3,"5,100,000","5,100,000",894865,900188
2762,498348,,Ship,3,1,"8,300,000","8,300,000",126299,580798
2763,753462,,Ship,5,1,"3,900,000","3,900,000",224075,668909
2764,401500,,Ship,3,2,"2,100,000","2,100,000",335190,415897
2765,375441,,Ship,5,4,"2,000,000","2,000,000",642126,582830
2766,395744,,Ship,5,5,"4,500,000","4,500,000",322924,131186
2767,174261,,Ship,3,1,"2,200,000","2,200,000",478443,151631
2768,591135,,Ship,3,1,"1,100,000","1,100,000",370985,160162
2769,269233,,Ship,4,2,"7,400,000","7,400,000",569087,281015
2770,947711,,Ship,3,3,"8,300,000","8,300,000",803104,465439
2771,874797,,Ship,4,4,"3,900,000","3,900,000",176876,424151
2772,161679,,Ship,6,5,"4,100,000","4,100,000",487017,963503
2773,387079,,Ship,2,3,"7,400,000","7,400,000",223654,190052
